"","ccode","year","warl","onset","gdpenl","lpopl1","lmtnest","Oil","ncontig","ethfrac","relfrac","nwstate","polity2l","instab","ccodeyear","totalwars","everwar"
"1294",200,1953,0,0,5.52699995040894,10.836576461792,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001953,1,1
"1295",200,1954,0,0,5.7810001373291,10.8388748168945,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001954,1,1
"1296",200,1955,0,0,5.98400020599365,10.8411483764648,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001955,1,1
"1297",200,1956,0,0,6.19899988174438,10.8434362411499,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001956,1,1
"1298",200,1957,0,0,6.25099992752075,10.8487348556519,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001957,1,1
"1299",200,1958,0,0,6.34499979019165,10.8540058135986,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001958,1,1
"1300",200,1959,0,0,6.33799982070923,10.8592491149902,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001959,1,1
"1301",200,1960,0,0,6.57299995422363,10.8644647598267,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001960,1,1
"1302",200,1961,0,0,6.82299995422363,10.8696537017822,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001961,1,1
"1303",200,1962,0,0,6.97100019454956,10.877121925354,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001962,1,1
"1304",200,1963,0,0,6.97800016403198,10.8857908248901,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001963,1,1
"1305",200,1964,0,0,7.22200012207031,10.8909816741943,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001964,1,1
"1306",200,1965,0,0,7.57299995422363,10.8973684310913,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001965,1,1
"1307",200,1966,0,0,7.67899990081787,10.903715133667,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001966,1,1
"1308",200,1967,0,0,7.78900003433228,10.9087047576904,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001967,1,1
"1309",200,1968,0,0,7.97300004959106,10.9138698577881,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001968,1,1
"1310",200,1969,0,1,8.25,10.9179210662842,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001969,1,1
"1311",200,1970,1,0,8.31400012969971,10.9218292236328,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001970,1,1
